Wavelength(nm)	n	k
250	2.20937662154520	0
264.400000000000	2.10969080352800	0
279.600000000000	2.04094336633270	0
295.700000000000	1.99012361996750	0
312.700000000000	1.95104474531730	0
330.600000000000	1.92015179734600	0
349.600000000000	1.89499244994860	0
369.800000000000	1.87415272277710	0
391	1.85688664578460	0
413.500000000000	1.84226344408180	0
437.300000000000	1.82982176367300	0
462.400000000000	1.81919192668870	0
489	1.81001264074960	0
517.100000000000	1.80207378333820	0
546.900000000000	1.79515374739330	0
578.300000000000	1.78913891835450	0
611.600000000000	1.78386064032990	0
646.700000000000	1.77924469447970	0
683.900000000000	1.77517618269960	0
723.200000000000	1.77159490805920	0
764.800000000000	1.76843078985190	0
808.800000000000	1.76563339788630	0
855.300000000000	1.76315876827300	0
904.500000000000	1.76096436153230	0
956.500000000000	1.75901841629510	0
1012	1.75727534250160	0
1070	1.75574476654900	0
1131	1.75438900812120	0
1196	1.75317156575620	0
1265	1.75208268631690	0
1338	1.75111162609850	0
1415	1.75024735456690	0
1496	1.74947903863230	0
1582	1.74878897098940	0
1673	1.74817088690590	0
1769	1.74761822229780	0
1871	1.74711993125300	0
1979	1.74667171484290	0
2092	1.74627225357740	0
2213	1.74590713561060	0
2340	1.74557926145400	0
2474	1.74528209511630	0
2617	1.74500876892420	0
2767	1.74476053239870	0
2926	1.74453136346700	0
3095	1.74431796101100	0
3273	1.74411957781460	0
3461	1.74393300141600	0
3660	1.74375545104150	0
3870	1.74358521309440	0
4093	1.74341909277280	0
4328	1.74325627703210	0
4577	1.74309380629150	0
4840	1.74293015422950	0
5118	1.74276313207130	0
5413	1.74258997376430	0
5724	1.74240962922170	0
6053	1.74221921802630	0
6401	1.74201635321310	0
6769	1.74179852168890	0
7158	1.74156305919710	0
7570	1.74130649364440	0
8005.00000000000	1.74102637326000	0
8466	1.74071806210980	0
8953	1.74037857487300	0
9467	1.74000400270020	0
10010	1.73958933791380	0
10590	1.73912413681210	0
11200	1.73860933126060	0
11840	1.73804039774610	0
12520	1.73740294747640	0
13240	1.73669036388300	0
14000	1.73589556814250	0
14810	1.73499963599880	0
15660	1.73400457049410	0
16560	1.73288894567050	0
17510	1.73164128120340	0
18520	1.73023491625980	0
19580	1.72866921613580	0
20710	1.72689754326100	0
21900	1.72491566967090	0
23160	1.72268527609980	0
24490	1.72018115802170	0
25900	1.71735514239210	0
27390	1.71417312907030	0
28960	1.71059758000510	0
30630	1.70653687344520	0
32390	1.70196170743910	0
34250	1.69678608293330	0
36220	1.69090888939030	0
38310	1.68421077076760	0
40510	1.67662173126480	0
42840	1.66795139829920	0
45300	1.65805044883930	0
47910	1.64665326879640	0
50660	1.63357901419820	0
53570	1.61845678903300	0
56650	1.60087763309540	0
59910	1.58032629985730	0
63360	1.55614331951460	0
67000	1.52755216926980	0
