Wavelength(nm)	n	k
310	2.17593946761610	0
361.900000000000	2.12445268478350	0
413.900000000000	2.09345546724470	0
465.800000000000	2.07319213393330	0
517.800000000000	2.05904722716390	0
569.700000000000	2.04873510066650	0
621.600000000000	2.04090710283110	0
673.600000000000	2.03476064351880	0
725.500000000000	2.02981739058970	0
777.500000000000	2.02572648183690	0
829.400000000000	2.02227788870660	0
881.300000000000	2.01930477316150	0
933.300000000000	2.01668852102430	0
985.200000000000	2.01435537314140	0
1037	2.01224123185970	0
1089	2.01028667602290	0
1141	2.00846317420110	0
1193	2.00674171994340	0
1245	2.00509934732080	0
1297	2.00351767512980	0
1349	2.00198184540370	0
1401	2.00047973847190	0
1453	1.99900138502270	0
1505	1.99753852051520	0
1557	1.99608424380070	0
1609	1.99463275295580	0
1660	1.99320714014510	0
1712	1.99174738102670	0
1764	1.99027780656880	0
1816	1.98879532872620	0
1868	1.98729727572710	0
1920	1.98578132432550	0
1972	1.98424544451980	0
2024	1.98268785418090	0
2076	1.98110698160630	0
2128	1.97950143445460	0
2180	1.97786997384460	0
2232	1.97621149265980	0
2284	1.97452499729200	0
2336	1.97280959221630	0
2388	1.97106446690190	0
2440	1.96928888466460	0
2491	1.96751721507110	0
2543	1.96567937400580	0
2595	1.96380923076710	0
2647	1.96190626046240	0
2699	1.95996997603920	0
2751	1.95799992369180	0
2803	1.95599567885690	0
2855	1.95395684271240	0
2907	1.95188303910670	0
2959	1.94977391185990	0
3011	1.94762912238330	0
3063	1.94544834757560	0
3115	1.94323127795800	0
3167	1.94097761601700	0
3219	1.93868707472810	0
3271	1.93635937623660	0
3323	1.93399425067700	0
3374	1.93163800014710	0
3426	1.92919796975400	0
3478	1.92671974534280	0
3530	1.92420307932020	0
3582	1.92164772773160	0
3634	1.91905344961690	0
3686	1.91642000642190	0
3738	1.91374716146070	0
3790	1.91103467942170	0
3842	1.90828232591320	0
3894	1.90548986704390	0
3946	1.90265706903440	0
3998	1.89978369785610	0
4050	1.89686951889460	0
4102	1.89391429663480	0
4154	1.89091779436550	0
4206	1.88787977390030	0
4257	1.88485961712790	0
4309	1.88173864849760	0
4361	1.87857544041280	0
4413	1.87536974632980	0
4465	1.87212131703590	0
4517	1.86882990043910	0
4569	1.86549524136380	0
4621	1.86211708135300	0
4673	1.85869515847530	0
4725	1.85522920713620	0
4777	1.85171895789320	0
4829	1.84816413727310	0
4881	1.84456446759220	0
4933	1.84091966677730	0
4985	1.83722944818870	0
5037	1.83349352044250	0
5088	1.82978475244060	0
5140	1.82595740575840	0
5192	1.82208345147920	0
5244	1.81816257757260	0
5296	1.81419446637370	0
5348	1.81017879439860	0
5400	1.80611523215860	0
5452	1.80200344397130	0
5504	1.79784308776700	0
