Wavelength(nm)	n	k
2.50000e+02	1.63700e+00	3.58890e+00
2.60000e+02	1.73700e+00	3.99320e+00
2.70000e+02	2.03000e+00	4.59580e+00
2.80000e+02	2.84000e+00	5.19610e+00
2.90000e+02	4.18500e+00	5.31240e+00
3.00000e+02	5.04900e+00	4.29000e+00
3.10000e+02	5.09100e+00	3.62390e+00
3.20000e+02	5.08500e+00	3.28240e+00
3.30000e+02	5.13500e+00	3.09350e+00
3.40000e+02	5.24500e+00	2.95730e+00
3.50000e+02	5.42300e+00	2.90780e+00
3.60000e+02	5.91400e+00	2.91350e+00
3.70000e+02	6.82000e+00	2.14030e+00
3.80000e+02	6.58700e+00	9.83990e-01
3.90000e+02	6.02500e+00	5.03080e-01
4.00000e+02	5.62300e+00	3.26270e-01
4.10000e+02	5.34100e+00	2.41270e-01
4.20000e+02	5.11000e+00	1.76940e-01
4.30000e+02	4.93200e+00	1.37660e-01
4.40000e+02	4.79000e+00	1.12010e-01
4.50000e+02	4.67300e+00	9.53620e-02
4.60000e+02	4.57200e+00	7.91050e-02
4.70000e+02	4.48500e+00	7.02400e-02
4.80000e+02	4.41200e+00	5.98170e-02
4.90000e+02	4.34900e+00	5.38100e-02
5.00000e+02	4.28900e+00	4.85420e-02
5.10000e+02	4.23500e+00	4.38310e-02
5.20000e+02	4.18700e+00	3.95310e-02
5.30000e+02	4.14500e+00	3.48040e-02
5.40000e+02	4.10300e+00	2.98960e-02
5.50000e+02	4.07300e+00	2.80380e-02
5.60000e+02	4.03800e+00	2.65510e-02
5.70000e+02	4.00600e+00	2.37460e-02
5.80000e+02	3.97700e+00	2.18960e-02
5.90000e+02	3.95400e+00	2.00760e-02
6.00000e+02	3.93100e+00	1.85210e-02
6.10000e+02	3.90800e+00	1.72570e-02
6.20000e+02	3.88800e+00	1.68090e-02
6.30000e+02	3.86900e+00	1.62680e-02
6.40000e+02	3.85100e+00	1.46930e-02
6.50000e+02	3.83500e+00	1.44470e-02
6.60000e+02	3.81700e+00	1.36080e-02
6.70000e+02	3.80500e+00	1.28070e-02
6.80000e+02	3.79100e+00	1.20450e-02
6.90000e+02	3.77600e+00	1.13170e-02
7.00000e+02	3.76500e+00	1.06230e-02
7.10000e+02	3.75300e+00	9.96100e-03
7.20000e+02	3.74100e+00	9.33350e-03
7.30000e+02	3.73000e+00	8.73120e-03
7.40000e+02	3.71900e+00	8.16180e-03
7.50000e+02	3.71200e+00	7.61560e-03
7.60000e+02	3.70100e+00	7.09420e-03
7.70000e+02	3.69300e+00	6.60540e-03
7.80000e+02	3.68400e+00	6.13380e-03
7.90000e+02	3.67700e+00	5.68880e-03
8.00000e+02	3.66900e+00	5.26550e-03
8.10000e+02	3.66200e+00	4.86400e-03
8.20000e+02	3.65500e+00	4.48360e-03
8.30000e+02	3.64600e+00	4.12350e-03
8.40000e+02	3.64100e+00	3.78280e-03
8.50000e+02	3.63600e+00	3.46050e-03
8.60000e+02	3.62800e+00	3.15630e-03
8.70000e+02	3.62200e+00	2.86970e-03
8.80000e+02	3.61700e+00	2.60010e-03
8.90000e+02	3.61300e+00	2.34640e-03
9.00000e+02	3.61000e+00	2.10920e-03
9.10000e+02	3.60400e+00	1.88640e-03
9.20000e+02	3.59800e+00	1.67870e-03
9.30000e+02	3.59700e+00	1.47570e-03
9.40000e+02	3.59000e+00	1.30610e-03
9.50000e+02	3.58400e+00	1.13930e-03
9.60000e+02	3.58400e+00	9.82430e-04
9.70000e+02	3.57800e+00	8.40600e-04
9.80000e+02	3.58200e+00	7.13340e-04
9.90000e+02	3.57900e+00	5.96380e-04
1.00000e+03	3.57500e+00	4.90200e-04
1.01000e+03	3.57200e+00	3.96160e-04
1.02000e+03	3.56800e+00	3.14370e-04
1.03000e+03	3.56500e+00	2.40480e-04
1.04000e+03	3.56200e+00	1.79590e-04
1.05000e+03	3.55900e+00	1.30430e-04
1.06000e+03	3.55600e+00	9.24500e-05
1.07000e+03	3.55300e+00	6.78200e-05
1.08000e+03	3.54900e+00	5.21680e-05
1.09000e+03	3.54700e+00	3.97700e-05
1.10000e+03	3.54500e+00	3.02170e-05
1.11000e+03	3.54200e+00	2.29130e-05
